WiktionaryCode	iso-639-3	Canonical name	Family	Scripts	Lang Package Python
hmy	hmy	Southern Guiyang Hmong	Hmong		Southern Guiyang Hmong
hmz	hmz	Hmong Shua	Hmong		Hmong Shua
hna	hna	Mina	Central Chadic		Mina (Cameroon)
hnd	hnd	Southern Hindko	Punjabi-Lahnda		Southern Hindko
hne	hne	Chhattisgarhi	Eastern Hindi	Deva	Chhattisgarhi
hnh	hnh	ǁAni	Kalahari Khoe	Latinx	ǁAni
hni	hni	Hani	Loloish		Hani
hnj	hnj	Green Hmong	Hmong	Latn, Hmng	Hmong Njua
hnn	hnn	Hanunoo	Philippine	Hano, Latn	Hanunoo
hno	hno	Northern Hindko	Punjabi-Lahnda	Arab	Northern Hindko
hns	hns	Caribbean Hindustani	Eastern Hindi		Caribbean Hindustani
hnu	hnu	Hung	Vietic		Hung
hoa	hoa	Hoava	Western Oceanic	Latn	Hoava
hob	hob	Austronesian Mari	Western Oceanic	Latn	Mari (Madang Province)
hoc	hoc	Ho	Munda	Wara, Orya, Deva, Latn	Ho
hod	hod	Holma	Central Chadic	Latn	Holma
hoe	hoe	Horom	East Plateau	Latn	Horom
hoh	hoh	Hobyót	Modern South Arabian	Arab, Latn	Hobyót
hoi	hoi	Holikachuk	North Athabaskan	Latn	Holikachuk
hoj	hoj	Hadothi	Western Indo-Aryan		Hadothi
hol	hol	Holu	Pende	Latn	Holu
hom	hom	Homa	Boan	Latn	Homa
hoo	hoo	Holoholo	Takama	Latn	Holoholo
hop	hop	Hopi	Uto-Aztecan	Latn	Hopi
hor	hor	Horo	Sara		Horo
hos	hos	Ho Chi Minh City Sign Language	sign	Latn	Ho Chi Minh City Sign Language
hot	hot	Hote	Western Oceanic	Latn	Hote
hov	hov	Hovongan	Malayo-Polynesian		Hovongan
how	how	Honi	Loloish		Honi
hoy	hoy	Holiya	Dravidian		Holiya
hoz	hoz	Hozo	Mao		Hozo
hpo	hpo	Hpon	Burmish		Hpon
hps	hps	Hawai'i Pidgin Sign Language	sign	Latn	Hawai'i Sign Language (HSL)
hra	hra	Hrangkhol	Kukish		Hrangkhol
hrc	hrc	Niwer Mil	Oceanic	Latn	Niwer Mil
hre	hre	Hre	North Bahnaric		Hre
hrk	hrk	Haruku	Central Maluku		Haruku
hrm	hrm	Horned Miao	Hmong		Horned Miao
hro	hro	Haroi	Chamic	Latn	Haroi
hrp	hrp	Nhirrpi	Karnic		Nhirrpi
hrt	hrt	Hértevin	Northeastern Neo-Aramaic	Latn	Hértevin
hru	hru	Hruso	Hrusish		Hruso
hrw	hrw	Warwar Feni	Oceanic	Latn	Warwar Feni
hrx	hrx	Hunsrik	West Germanic	Latn	Hunsrik
hrz	hrz	Harzani	Tatic		Harzani
hsb	hsb	Upper Sorbian	Sorbian	Latn	Upper Sorbian
hsh	hsh	Hungarian Sign Language	sign	Latn	Hungarian Sign Language
hsl	hsl	Hausa Sign Language	sign	Latn	Hausa Sign Language
hsn	hsn	Xiang	Sinitic	Hani, Hant, Hans	Xiang Chinese
hss	hss	Harsusi	Modern South Arabian	Arab, Latn	Harsusi
hti	hti	Hoti	Central Maluku	Latn	Hoti
hto	hto	Minica Huitoto	Witotoan	Latn	Minica Huitoto
hts	hts	Hadza	isolate	Latn	Hadza
htu	htu	Hitu	Central Maluku	Latn	Hitu
hub	hub	Huambisa	Jivaroan	Latn	Huambisa
huc	huc	ǂHoan	Kx'a	Latinx	ǂHua
hud	hud	Huaulu	Central Maluku	Latn	Huaulu
huf	huf	Humene	Trans-New Guinea	Latn	Humene
hug	hug	Huachipaeri	Harákmbut	Latn	Huachipaeri
huh	huh	Huilliche	Araucanian	Latn	Huilliche
hui	hui	Huli	Engan	Latn	Huli
huj	huj	Northern Guiyang Hmong	Hmong		Northern Guiyang Hmong
huk	huk	Hulung	Central-Eastern Malayo-Polynesian		Hulung
hul	hul	Hula	Western Oceanic	Latn	Hula
hum	hum	Hungana	Yaka		Hungana
huo	huo	Hu	Palaungic		Hu
